Личный номер,ФИО,Группа,Финансирование,Пол,Город постоянной регистрации
20И0053,Селиверстов Станислав Артёмович,ИЭБО-75-21,Б,М,Самара
21И6072,Олимпиада Валентиновна Мишина,ИЭБО-75-21,Б,Ж,Нижний Новгород
22И3965,Потапов Кир Артемьевич,ИЭБО-75-21,Б,М,Чебоксары
21И2012,Ковалева Алина Рудольфовна,ИЭБО-75-21,Б,Ж,Новороссийск
21И0706,Сильвестр Викторович Меркушев,ИЭБО-75-21,Б,М,Владивосток
22И1812,Прасковья Константиновна Устинова,ИЭБО-75-21,Б,Ж,Астрахань
21И9755,Пелагея Владимировна Абрамова,ИЭБО-75-21,Б,Ж,Уфа
22И4426,Ефремов Панкратий Ильич,ИЭБО-75-21,К,М,Симферополь
21И8984,Крюкова Жанна Юльевна,ИЭБО-75-21,К,Ж,Барнаул
22И6731,Лукия Викторовна Котова,ИНБО-59-21,Б,Ж,Санкт-Петербург
20И5056,Филатов Панфил Валерьянович,ИНБО-59-21,К,М,Санкт-Петербург
23И6743,Марина Артемовна Андреева,ИНБО-59-21,К,Ж,Курган
22И9661,Юлия Валентиновна Ширяева,ИНБО-59-21,Б,Ж,Краснодар
22И4388,Варвара Ивановна Блинова,ИНБО-59-21,Б,Ж,Краснодар
20И3764,Ирина Аркадьевна Филиппова,ИНБО-59-21,Б,Ж,Мариуполь
22И7294,Мухин Ерофей Вилорович,ИНБО-59-21,Б,М,Волгоград
20И5585,Ксения Харитоновна Логинова,ИНБО-59-21,Б,Ж,Курган
23И1427,Беляева Анжела Болеславовна,ИНБО-59-21,К,Ж,Калининград
22И4006,Маслова Ираида Никифоровна,ИНБО-59-21,К,Ж,Москва
20И7148,Белозерова Александра Егоровна,ИНБО-59-21,Б,Ж,Санкт-Петербург
21И5628,Сазонова Элеонора Михайловна,ИНБО-59-21,Б,Ж,Белгород
21И8555,Святополк Борисович Меркушев,ИНБО-59-21,Б,М,Оренбург
20И1939,Виктория Валентиновна Чернова,ИНБО-59-21,К,Ж,Омск
21И5661,Наина Артемовна Белякова,ИНБО-59-21,К,Ж,Ростов-на-Дону
20И3384,Романов Милован Всеволодович,ИНБО-59-21,К,М,Владивосток
21И5590,Надежда Максимовна Игнатьева,ИНБО-59-21,К,Ж,Новосибирск
22И6979,Терентьева Лариса Руслановна,ИНБО-59-21,К,Ж,Саратов
23И4915,Гремислав Изотович Медведев,ИНБО-59-21,К,М,Пенза
22И5976,Поляков Лазарь Авдеевич,ИНБО-59-21,Б,М,Красноярск
22И1413,Данилова Юлия Леонидовна,ИНБО-59-21,К,Ж,Новокузнецк
22И6696,Лукин Ратибор Исидорович,ИНБО-59-21,К,М,Уфа
21И8363,Адриан Абрамович Кабанов,ИНБО-59-21,Б,М,Севастополь
20И8295,Аристарх Феоктистович Бобров,ИНБО-59-21,К,М,Новокузнецк
20И5242,Герасимова Варвара Ивановна,ИНБО-59-21,Б,Ж,Калуга
21И7279,Сергей Владиславович Орехов,ИНБО-59-21,К,М,Рязань
23И4939,Егор Авдеевич Лебедев,ИНБО-59-21,К,М,Бийск
20И8668,Евдокимов Руслан Теймуразович,ИНБО-59-21,Б,М,Сургут
23И5972,Якушев Глеб Алексеевич,ИНБО-59-21,К,М,Екатеринбург
21И7908,Пантелеймон Анатольевич Карпов,ИНБО-59-21,Б,М,Ангарск
22И9956,Ершова Ирина Кирилловна,ИВБО-33-21,Б,Ж,Мурманск
23И7429,Суворова Светлана Святославовна,ИВБО-33-21,Б,Ж,Ульяновск
20И3967,Симонов Аникей Вячеславович,ИВБО-33-21,Б,М,Ангарск
23И5183,Ангелина Леонидовна Козлова,ИВБО-33-21,Б,Ж,Новороссийск
23И6410,Мария Павловна Королева,ИВБО-33-21,К,Ж,Смоленск
23И0322,Константинова Ираида Эдуардовна,ИВБО-33-21,Б,Ж,Севастополь
20И2466,Аникита Аверьянович Лапин,ИВБО-33-21,К,М,Липецк
21И3434,Сазонов Иннокентий Герасимович,ИВБО-33-21,К,М,Ярославль
23И6519,Аксенова Раиса Эдуардовна,ИВБО-33-21,Б,Ж,Краснодар
23И2447,Гурий Демидович Сысоев,ИВБО-33-21,К,М,Казань
21И9015,тов. Абрамова Зинаида Михайловна,ИВБО-33-21,К,Ж,Ростов-на-Дону
21И1831,Потапов Ярослав Эдгарович,ИВБО-33-21,Б,М,Нижний Новгород
22И8690,Федот Иларионович Давыдов,ИВБО-33-21,Б,М,Волгоград
23И8493,Ермакова Ираида Анатольевна,ИВБО-33-21,К,Ж,Архангельск
21И1300,Евгения Станиславовна Петухова,ИВБО-33-21,К,Ж,Владимир
20И9228,Кабанов Виктор Архипович,ИВБО-33-21,Б,М,Оренбург
20И6328,Алина Аскольдовна Красильникова,ИВБО-33-21,Б,Ж,Таганрог
20И8202,Лавр Георгиевич Константинов,ИВБО-33-21,Б,М,Старый Оскол
22И2170,Пестов Ираклий Ильич,ИВБО-33-21,К,М,Воронеж
21И8923,Анжела Феликсовна Тарасова,ИВБО-33-21,К,Ж,Красноярск
21И6666,Воронова Ираида Кирилловна,ИВБО-33-21,Б,Ж,Казань
20И3501,Януарий Ефимович Пахомов,ИВБО-33-21,К,М,Чебоксары
23И7803,Павлова Маргарита Натановна,ИВБО-33-21,Б,Ж,Нижний Новгород
21И5191,Аркадий Ефимьевич Виноградов,ИВБО-33-21,Б,М,Брянск
20И4863,Степанов Антонин Данилович,ИВБО-33-21,К,М,Хабаровск
21И5827,Полина Александровна Лаврентьева,ИВБО-33-21,К,Ж,Новокузнецк
20И0502,Серафим Авдеевич Сергеев,ИВБО-33-21,К,М,Мурманск
23И8098,Королева Марина Дмитриевна,ИВБО-33-21,Б,Ж,Саратов
23И1203,Мельников Кирилл Эдуардович,ИВБО-33-21,К,М,Курган
22И9807,Виссарион Анатольевич Фокин,ИВБО-33-21,К,М,Тюмень
21И3968,Орест Августович Дементьев,ИКБО-77-20,К,М,Калининград
20И2888,Архип Иларионович Шарапов,ИКБО-77-20,Б,М,Брянск
21И7208,Севастьян Филиппович Кириллов,ИКБО-77-20,Б,М,Смоленск
21И5003,Афанасьев Владислав Власович,ИКБО-77-20,К,М,Ижевск
21И5346,Крылов Иларион Жоресович,ИКБО-77-20,К,М,Таганрог
21И7385,Дмитриев Панкрат Гаврилович,ИКБО-77-20,Б,М,Бийск
22И2378,Кононов Феофан Ефстафьевич,ИКБО-77-20,К,М,Новокузнецк
20И2931,Ия Ниловна Гурьева,ИКБО-77-20,Б,Ж,Тула
21И8799,Елена Рудольфовна Гущина,ИКБО-77-20,Б,Ж,Екатеринбург
20И8354,Панкратий Власович Петров,ИКБО-77-20,К,М,Калининград
22И7962,Боян Германович Трофимов,ИКБО-77-20,Б,М,Ангарск
22И4451,Элеонора Никифоровна Куликова,ИКБО-77-20,К,Ж,Краснодар
23И9851,Харитонов Самсон Ярославович,ИКБО-77-20,Б,М,Старый Оскол
21И7197,Сысоева Оксана Анатольевна,ИКБО-77-20,К,Ж,Петрозаводск
22И0769,Афанасьев Борис Демьянович,ИКБО-77-20,К,М,Курск
21И4669,Жанна Тимофеевна Медведева,ИКБО-77-20,Б,Ж,Сургут
22И9161,Никонов Святополк Архипович,ИКБО-77-20,Б,М,Курск
21И9254,тов. Абрамова Екатерина Леоновна,ИКБО-77-20,Б,Ж,Нижневартовск
21И8217,Олимпиада Никифоровна Смирнова,ИКБО-77-20,Б,Ж,Уфа
20И9938,Гусев Самуил Трифонович,ИКБО-77-20,Б,М,Магнитогорск
20И7330,Жданов Софрон Викентьевич,ИКБО-77-20,К,М,Брянск
20И4271,Капустин Мина Вячеславович,ИКБО-77-20,К,М,Киров
22И6625,Селиверстов Прокофий Артёмович,ИКБО-77-20,Б,М,Санкт-Петербург
23И2111,Бирюкова Марина Васильевна,ИКБО-77-20,К,Ж,Тула
21И8343,Лавр Яковлевич Дьячков,ИКБО-77-20,Б,М,Ангарск
23И6794,Фаина Геннадиевна Белова,ИКБО-77-20,К,Ж,Бийск
20И9010,Костин Илья Ануфриевич,ИКБО-77-20,Б,М,Махачкала
23И3108,г-жа Калинина Валерия Тарасовна,ИКБО-77-20,Б,Ж,Бийск
21И9260,Севастьян Антонович Силин,ИКБО-77-20,Б,М,Воронеж
21И3978,Горшков Сократ Адамович,ИКБО-77-20,К,М,Саранск
20И5483,Борисова Жанна Харитоновна,ИКБО-75-23,Б,Ж,Саратов
20И5878,Логинова Иванна Андреевна,ИКБО-75-23,К,Ж,Пенза
23И7108,Дмитриев Фирс Бенедиктович,ИКБО-75-23,Б,М,Нижний Новгород
23И8418,Герасим Марсович Орлов,ИКБО-75-23,К,М,Томск
22И8644,Гордей Еремеевич Соболев,ИКБО-75-23,К,М,Красноярск
22И3201,Шашков Филипп Ильич,ИКБО-75-23,Б,М,Омск
23И5150,Савватий Елисеевич Буров,ИКБО-75-23,Б,М,Владимир
20И6322,Фортунат Давыдович Капустин,ИКБО-75-23,Б,М,Новосибирск
23И9497,Измаил Ааронович Воронов,ИКБО-75-23,Б,М,Новосибирск
22И5957,Милица Николаевна Карпова,ИКБО-75-23,К,Ж,Омск
22И5887,Киселев Амвросий Глебович,ИКБО-75-23,Б,М,Кемерово
21И8893,Абрамов Демид Валерианович,ИКБО-75-23,Б,М,Симферополь
20И7623,Костин Любосмысл Алексеевич,ИКБО-75-23,К,М,Тверь
21И1938,Иванова Полина Альбертовна,ИКБО-75-23,Б,Ж,Тверь
22И4525,Ульяна Кирилловна Воронова,ИКБО-75-23,К,Ж,Иваново
20И8856,Виктория Богдановна Панова,ИКБО-75-23,К,Ж,Курган
22И4541,Кудрявцев Демид Анисимович,ИКБО-75-23,К,М,Чита
21И6406,Алевтина Геннадиевна Горбунова,ИКБО-75-23,Б,Ж,Томск
20И8121,Хохлов Владимир Анисимович,ИКБО-75-23,К,М,Саратов
23И9908,Беспалова Вероника Филипповна,ИКБО-75-23,К,Ж,Махачкала
21И9249,Ирина Ильинична Белякова,ИКБО-75-23,Б,Ж,Курск
20И7514,Наталья Григорьевна Игнатьева,ИКБО-75-23,К,Ж,Рязань
20И6106,Лариса Леоновна Яковлева,ИКБО-75-23,Б,Ж,Бийск
23И6318,Горшков Максимильян Владленович,ИКБО-75-23,К,М,Нижневартовск
20И3767,Жанна Мироновна Котова,ИКБО-75-23,К,Ж,Владикавказ
